Id,Title,Year,Rating,Views,Likes,Minutes,Tagline,Language,Countries,Directors,Cast
50152,Signs,2002,3.5,496155,98538,106,It’s not like they didn’t warn us.,English,['USA'],['M. Night Shyamalan'],"['Mel Gibson', 'Joaquin Phoenix', 'Rory Culkin', 'Abigail Breslin', 'Cherry Jones']"
44965,The SpongeBob SquarePants Movie,2004,3.9,658509,149613,87,Bigger. Better. More absorbent.,English,['USA'],['Stephen Hillenburg'],"['Tom Kenny', 'Clancy Brown', 'Rodger Bumpass', 'Bill Fagerbakke', 'Mr. Lawrence']"
269358,Loving Vincent,2017,4.0,278762,90457,95,,English,"['UK', 'Poland']","['DK Welchman', 'Hugh Welchman']","['Douglas Booth', 'Robert Gulaczyk', 'Eleanor Tomlinson', 'Helen McCrory', 'Saoirse Ronan']"
48033,Chicken Run,2000,3.6,687881,118928,84,This ain’t no chick flick. It’s poultry in motion.,English,"['France', 'UK', 'USA']","['Nick Park', 'Peter Lord']","['Julia Sawalha', 'Mel Gibson', 'Imelda Staunton', 'Jane Horrocks', 'Lynn Ferguson']"
620665,The Adam Project,2022,2.9,437257,76050,106,Past meets future.,English,['USA'],['Shawn Levy'],"['Ryan Reynolds', 'Walker Scobell', 'Mark Ruffalo', 'Jennifer Garner', 'Zoe Saldaña']"
558806,C’mon C’mon,2021,4.1,205095,83299,109,,English,['USA'],['Mike Mills'],"['Joaquin Phoenix', 'Woody Norman', 'Gaby Hoffmann', 'Scoot McNairy', 'Molly Webster']"
268380,Zombieland: Double Tap,2019,3.0,510999,84613,99,,English,['USA'],['Ruben Fleischer'],"['Woody Harrelson', 'Jesse Eisenberg', 'Emma Stone', 'Abigail Breslin', 'Zoey Deutch']"
50509,L.A. Confidential,1997,4.1,385699,99607,138,Everything is suspect… Everyone is for sale… And nothing is what it seems.,English,['USA'],['Curtis Hanson'],"['Russell Crowe', 'Guy Pearce', 'Kevin Spacey', 'Kim Basinger', 'Danny DeVito']"
16555,Submarine,2010,3.8,319663,101555,97,A comedy that doesn’t let principles stand in the way of progress.,English,['UK'],['Richard Ayoade'],"['Craig Roberts', 'Yasmin Paige', 'Sally Hawkins', 'Noah Taylor', 'Paddy Considine']"
305363,Sing Street,2016,4.0,328239,121347,106,Boy meets girl. Girl unimpressed. Boy starts band.,English,"['Ireland', 'UK', 'USA']",['John Carney'],"['Ferdia Walsh-Peelo', 'Lucy Boynton', 'Jack Reynor', 'Ben Carolan', 'Mark McKenna']"
198992,Passengers,2016,2.8,622451,73166,116,There is a reason they woke up.,English,['USA'],['Morten Tyldum'],"['Jennifer Lawrence', 'Chris Pratt', 'Michael Sheen', 'Laurence Fishburne', 'Andy García']"
51748,Once Upon a Time in America,1984,4.2,264481,80315,229,"Crime, passion and lust for power.",English,"['USA', 'Italy']",['Sergio Leone'],"['Robert De Niro', 'James Woods', 'Elizabeth McGovern', 'Treat Williams', 'Tuesday Weld']"
86991,The World’s End,2013,3.6,471921,115735,109,Good food. Fine ales. Total Annihilation.,English,"['UK', 'USA']",['Edgar Wright'],"['Simon Pegg', 'Nick Frost', 'Martin Freeman', 'Paddy Considine', 'Eddie Marsan']"
29041,Enter the Void,2009,3.8,242942,73025,161,Sex. Money. Power.,English,"['Canada', 'France', 'Germany', 'Italy']",['Gaspar Noé'],"['Paz de la Huerta', 'Nathaniel Brown', 'Cyril Roy', 'Olly Alexander', 'Masato Tanno']"
